field_id,area_ha,crop_osm,ndvi_peak,ndvi_date_peak,ndvi_doy_peak,ndvi_integral_season,ndvi_vegetation_days,ndvi_growth_rate_max,ndvi_peak_anomaly,ndvi_spring_mean,ndvi_summer_mean,ndvi_late_mean,weather_gdd_season,weather_t_mean_season,weather_t_max_season,weather_t_min_season,weather_precip_season_mm,weather_solar_season_mj,weather_et0_season_mm,weather_humidity_season,yield_centner_ha
F001,1488.0907911279157,rice,0.5261,2024-08-08,221,82.82,182,0.00529,-0.0365,0.4083,0.4929,0.464,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,54.51
F002,1410.9749321557774,rice,0.6424,2024-08-02,215,79.3,172,0.0115,0.0798,0.3641,0.4863,0.4571,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,55.31
F003,1243.1852973925195,rice,0.6534,2024-07-30,212,88.31,182,0.01333,0.0908,0.373,0.5665,0.5166,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,59.22
F004,1157.18526937069,rice,0.7702,2024-07-05,187,114.68,182,0.01079,0.2076,0.4905,0.7121,0.6887,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,63.11
F005,1138.7997660906224,rice,0.4454,2024-05-20,141,56.8,76,0.00756,-0.1172,0.3588,0.3053,0.2715,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,47.58
F006,1118.2041594411667,rice,0.709,2024-08-01,214,88.12,147,0.01462,0.1464,0.2888,0.5774,0.588,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,56.79
F007,1117.798711502021,rice,0.4995,2024-05-19,140,73.8,165,0.00374,-0.0631,0.4866,0.3984,0.3302,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,53.36
F008,1048.973329833071,rice,0.5615,2024-08-02,215,80.4,182,0.00943,-0.0011,0.3806,0.452,0.4935,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,54.33
F009,981.78299037001,rice,0.5605,2024-08-05,218,83.5,182,0.00591,-0.0021,0.402,0.5145,0.4598,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,54.9
F010,939.111250801334,rice,0.6373,2024-05-25,146,87.23,182,0.00664,0.0747,0.5415,0.4822,0.413,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,55.53
F011,893.2513153789913,,0.5637,2024-07-29,211,83.15,173,0.00984,0.0011,0.431,0.5161,0.4229,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,56.79
F012,865.5682779229585,rice,0.7208,2024-07-31,213,85.27,123,0.02024,0.1582,0.2705,0.5585,0.5784,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,61.3
F013,828.4669100870639,,0.5525,2024-05-14,135,83.95,182,0.00425,-0.0101,0.5148,0.4677,0.4002,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,54.83
F014,803.7877492382189,rice,0.434,2024-06-22,174,60.11,125,0.00429,-0.1286,0.3314,0.3999,0.2583,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,53.4
F015,775.0165388044229,rice,0.653,2024-07-31,213,76.41,112,0.01805,0.0904,0.2576,0.525,0.4778,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,58.65
F016,768.9110762668621,rice,0.5122,2024-08-06,219,82.53,170,0.00619,-0.0504,0.4748,0.4839,0.4008,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,51.77
F017,767.1974896827602,rice,0.6076,2024-05-13,134,74.74,140,0.00634,0.045,0.5736,0.3771,0.2791,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,57.09
F018,760.7852612169422,,0.5381,2024-07-31,213,75.36,179,0.00647,-0.0245,0.3736,0.4336,0.4354,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,52.35
F019,760.6502498880037,,0.4676,2024-08-01,214,69.15,179,0.00603,-0.095,0.349,0.4021,0.3889,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,53.91
F020,722.0190953366475,,0.7615,2024-08-01,214,85.31,113,0.0207,0.1989,0.2199,0.5753,0.6135,2296.3,22.55,39.0,4.9,254.6,3943.2,991.9,56.19,60.87
